商品名,テイスティングノート,URL,原産国,地域,ブランド,メーカー,アルコール度数（%）,容量 (ml／g),銘柄,ビンテージ,年数
ビッグピート 46%  700ml ビッグピート,"香り：ピリッとしたピートの温かい香り。チョコレート、コーヒー、杉の香りにスパイス、クルミ、アーモンドの香り。　　　シナモンとオイリーなスモークの香りがする。
味わい：シンプルだが、美味しい。重厚なスモーク、刈り草、ピーナッツ、スパイス、ピートの香り。
フィニッシュ：刈り取った草、海岸の香り、スモークの香りが突然に現れる。",https://www.saketry.com/112217.html,スコットランド,アイラ,ビッグピート,ダグラスレイン,46,700,,,
ビッグピート 12年 46%  700ml ビッグピート,,https://www.saketry.com/112218.html,スコットランド,アイラ,ビッグピート,ダグラスレイン,46,700,,,12
ビッグピート 柔道エディション  50%   700mlビッグピート,,https://www.saketry.com/112219.html,スコットランド,アイラ,ビッグピート,ダグラスレイン,50,700,,,
アレグザンダー マーレイ  グレントファース 1996 22年 40%  750ml アレグザンダー マーレイ,,https://www.saketry.com/112220.html,スコットランド,スペイサイド,,アレグサンダーマーレイ,40,750,グレントファース蒸留所,1996,22
【日本向け限定】ダンカンテイラー オクタブ  アイコニック スペイサイド 1993 26年 47.9%  700mlオクタブ,,https://www.saketry.com/112221.html,スコットランド,スペイサイド,オクタブ,ダンカンテイラー,47.9,700,,1993,26
ブティックウイスキー アードベッグ 2000 バッチ22 19年  54.2%  500ml ブティックウイスキー,,https://www.saketry.com/112222.html,スコットランド,アイラ,ブティックウイスキー,アトンブランズ,54.2,500,アードベッグ蒸溜所,2000,19
ワットウイスキー アラン 2012 8年  59.2%   700mlワットウイスキー,,https://www.saketry.com/112223.html,スコットランド,アイランズ,,ワットウイスキー,59.2,700,アイル オブ アラン蒸溜所,2012,8
ワットウイスキー トミントール 2010 10年 56.7%   700mlワットウイスキー,,https://www.saketry.com/112224.html,スコットランド,スペイサイド,,ワットウイスキー,56.7,700,トミントール蒸留所,2010,10
ワットウイスキー カリラ 2010 10年 58.2%  700ml ワットウイスキー,,https://www.saketry.com/112225.html,スコットランド,アイラ,,ワットウイスキー,58.2,700,カリラ蒸留所,2010,10
ワットウイスキー ブレンデッドウイスキー2010 10年 56.5%  700mlワットウイスキー,,https://www.saketry.com/112226.html,スコットランド,,,ワットウイスキー,56.5,700,,2010,10
ウイスキー ミュウ 『ブラックラグーン』レヴィ ラベル シークレットアイラ 2013 53.2% 700ml漫画ラベルシリーズ,"アロマ：スモークしたチョコレートにヨーグルトを添えたよう。松脂やミント。ナツメヤシの甘さ。徐々にフェノール・エタノール香が強くなっていく。
フレーバー：ピート。ほのかにスパイシーで酸味がある。フィニッシュにココアパウダーとコーヒー豆。透明感のあるスモーキーさを、ポート樽由来の甘さとフルーティさが包んでいる。",https://www.saketry.com/112227.html,スコットランド,アイラ,漫画ラベルシリーズ,ウイスキー・ミュウ,53.2,700,,2013,
『ブラックラグーン』 バラライカ ラベル ブレデッドモルト2001漫画ラベルシリーズ,"アロマ：プリンのカラメル。チョコレート風味のパン。ミントやローズマリーなどのハーブ。かすかに硝煙香。
フレーバー：ウッディだが過度ではない。ビター・チョコレート。カルダモンなどのスパイス。ややビーフジャーキーのよう。加水するとマイルドでスムーズになる。",https://www.saketry.com/112228.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキー・ミュウ,51.8,700,,2006,14
グレンスコシア10年グレンスコシア,,https://www.saketry.com/112230.html,スコットランド,キャンベルタウン,グレンスコシア,ロッホローモンドグループ,40,700,グレンスコシア蒸留所,,10
イチローズ モルト＆グレーン 46% 700mlイチローズ,,https://www.saketry.com/112231.html,日本,埼玉・秩父,イチローズモルト,ベンチャー・ウイスキー,46,700,秩父蒸留所,,
『ポパイ』ラベル シークレットハイランド 2006 51.8% 700ml漫画ラベルシリーズ,"アロマ：モルティな甘さ。すりおろしリンゴ。ほのかにオイリーで、油粘土。かすかにスモーク。
フレーバー：ワクシー。白胡椒のようなスパイシーさ。軽くピート焚きした麦芽の殻。長く続く、熱いフィニッシュ。",https://www.saketry.com/112232.html,スコットランド,ハイランド,漫画ラベルシリーズ,ウイスキーミュウ,51.8,700,,2006,14
グレンファークラス 185周年記念ボトルグレンファークラス,"香り：プラム、ネクタインの煮込み、ワックス風味のオレンジ、ドライマンゴー、乾燥したハーブ。
味わい：オレンジ、べりーの煮込み、砂糖漬けの生姜、シナモン。
フィニッシュ：ミント、リンゴ、古い木、ココア。",https://www.saketry.com/112233.html,スコットランド,スペイサイド,,,46,700,グレンファークラス,,
アイル オブ ラッセイ ヘブリディアン シングルモルト R-01 46.4% 700mlアイル オブ ラッセイ,"香り：ほこりっぼい干し草、グリーントマト、グリーンアップル、レモン、ほんのりのスモーキーさ。
味わい：グレープフルーツ、白胡椒、草と生姜、きゅうりのピクルス。
フィニッシュ：洋ナシ、バニラ、スパイシー。",https://www.saketry.com/112234.html,スコットランド,アイランズ,,R&B ディスティラーズ,46.4,700,アイル オブ ラッセイ蒸留所,,
『キャッツアイ』ラベル グレンファークラス 2010 60.4% 700ml漫画ラベルシリーズ,"アロマ：上品なミルク入りのチョコレート。ドライフルーツのプルーン。黒ブドウの皮。チェリーリキュールを垂らしたコーヒー。
フレーバー：スパイシーでドライ、ややオイリー。過熟のフルーツと濃厚なチョコレート・ドリンク。フィニッシュはスパイシーで長く続く。",https://www.saketry.com/112235.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキーミュウ,60.4,700,グレンファークラス蒸留所,2010,10
『シティハンター』グレンファークラス2011 60.0% 700ml漫画ラベルシリーズ,"アロマ：コーヒー味のアイスクリーム。チョコレート風味のウェハース。アンティーク家具の心地よい香り。
フレーバー：深煎りのコーヒー豆。やや新しいレザー。フィニッシュに鉛筆の芯。加水するとビターチョコレートでコーティングした麦芽。",https://www.saketry.com/112236.html,スコットランド,スペイサイド,漫画ラベルシリーズ,ウイスキー,60,700,グレンファークラス蒸留所,2011,9
ダフトミル 2008 12年 ウィンターバッチリリース 46% 700mlダフトミル,,https://www.saketry.com/112237.html,スコットランド,ローランド,ウィンターバッチリリース,,46,700,ダフトミル蒸留所,2008,12
TWA&TR シークレット オークニ ディスティラリー 2002 18年 51.9% 700mlTWA&TR ｢ART WORK｣,"香り：ハニー、甘いハーブ、キンモクセイ、潮風＆僅かなスモーク。
味わい：リッチなハニーテイストの甘さと複雑なハーブ、奥にジワジワとスモーク。
フィニッシュ：潮とスモーク、ペッパーが長く続く。",https://www.saketry.com/112238.html,スコットランド,アイランズ,アートワーク,THE WHISKY AGENCY & THREE RIVERS,51.9,700,,2002,18
GM リンクウッド15年 46% 700ml 蒸留所ラベル,"味わい： 始めに甘さが押し寄せる。しばらくしてまるやかになっていき、シナモンやクローブの優しく温かいスパイスが感じられる。             クリーミなホワイトチョコレートが現れ、ジューシーなタンジェリンと絡み合う。
フィニッシュ： フレッシュなハーブのトーンとわずかにドライなココアパウダーを感じるほどよく円熟したフィニッシュ。",https://www.saketry.com/112239.html,スコットランド,スペイサイド,蒸留所ラベル,ゴードン＆マクファイル,46,700,リンクウッド蒸留所,,15
GM モートラック15年 46% 700ml蒸留所ラベル,"香り：初めに強いモルトの香りが森林の生垣のフレッシュな香りと共に感じられる。繊細なシェリー香が濃厚で甘いトフィーやスイートリコリス、           オレンジマーマレードと混じり合いながらいつまでも感じられる。
味わい： ブラックフォレストケーキを思い起こさせる。最初に感じた甘さがフルーティーな黒スグリのジャム、マラスキーノ、チェリー、クリーミーバニラに変わり、             剥きたてのオレンジがフレッシュさを更に強める。
フィニッシュ：非常に円熟している。ほのかに感じる砂糖漬けシトラスフルーツとオークがいつまでも感じるモルトの風味を引き立てる。",https://www.saketry.com/112240.html,スコットランド,スペイサイド,蒸留所ラベル,ゴードン＆マクファイル,46,700,モートラック蒸留所,,15
